Iteration 0 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.9429
Iteration 5 | Test Loss = -0.9714
Iteration 6 | Test Loss = -0.9143
Iteration 7 | Test Loss = -0.8571
Iteration 8 | Test Loss = -0.8286
Iteration 9 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.8857
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8857
Iteration 13 | Test Loss = -0.8857
Iteration 14 | Test Loss = -0.9143
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.8571
Iteration 17 | Test Loss = -0.8857
Iteration 18 | Test Loss = -0.8857
Iteration 19 | Test Loss = -0.9143
Result for kernel_classification_foodPoking_foodPoking_4000_all_svmlinear: -0.8971 ± 0.0355
Iteration 0 | Test Loss = -0.9143
Iteration 1 | Test Loss = -0.8571
Iteration 2 | Test Loss = -0.9714
Iteration 3 | Test Loss = -0.8857
Iteration 4 | Test Loss = -0.9143
Iteration 5 | Test Loss = -0.9714
Iteration 6 | Test Loss = -0.9143
Iteration 7 | Test Loss = -0.8571
Iteration 8 | Test Loss = -0.8286
Iteration 9 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.8857
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8000
Iteration 13 | Test Loss = -0.8286
Iteration 14 | Test Loss = -0.8571
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.8857
Iteration 17 | Test Loss = -0.9143
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.8286
Result for kernel_classification_foodPoking_foodPoking_4000_all_svmrbf: -0.8871 ± 0.0465
Iteration 0 | Test Loss = -0.9143
Iteration 1 | Test Loss = -0.9143
Iteration 2 | Test Loss = -0.8857
Iteration 3 | Test Loss = -0.8857
Iteration 4 | Test Loss = -0.8571
Iteration 5 | Test Loss = -0.8857
Iteration 6 | Test Loss = -0.6857
Iteration 7 | Test Loss = -0.8000
Iteration 8 | Test Loss = -0.8571
Iteration 9 | Test Loss = -0.8000
Iteration 10 | Test Loss = -0.6857
Iteration 11 | Test Loss = -0.8571
Iteration 12 | Test Loss = -0.9143
Iteration 13 | Test Loss = -0.9143
Iteration 14 | Test Loss = -0.8857
Iteration 15 | Test Loss = -0.8857
Iteration 16 | Test Loss = -0.5429
Iteration 17 | Test Loss = -0.8857
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.7143
Result for kernel_classification_foodPoking_foodPoking_4000_all_mlp: -0.8343 ± 0.0988
Iteration 0 | Test Loss = -0.8571
Iteration 1 | Test Loss = -0.8571
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.8571
Iteration 4 | Test Loss = -0.8857
Iteration 5 | Test Loss = -0.9429
Iteration 6 | Test Loss = -0.9429
Iteration 7 | Test Loss = -0.8000
Iteration 8 | Test Loss = -0.8286
Iteration 9 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.8857
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8286
Iteration 13 | Test Loss = -0.8286
Iteration 14 | Test Loss = -0.8571
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.8571
Iteration 17 | Test Loss = -0.9429
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.9429
Result for kernel_classification_foodPoking_foodPoking_4000_neuhalf_svmlinear: -0.8843 ± 0.0465
Iteration 0 | Test Loss = -0.9143
Iteration 1 | Test Loss = -0.8857
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.9143
Iteration 4 | Test Loss = -0.9429
Iteration 5 | Test Loss = -0.9714
Iteration 6 | Test Loss = -0.9143
Iteration 7 | Test Loss = -0.8000
Iteration 8 | Test Loss = -0.8571
Iteration 9 | Test Loss = -0.8286
Iteration 10 | Test Loss = -0.8857
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8000
Iteration 13 | Test Loss = -0.8286
Iteration 14 | Test Loss = -0.8857
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.9143
Iteration 17 | Test Loss = -0.8857
Iteration 18 | Test Loss = -0.8857
Iteration 19 | Test Loss = -0.9429
Result for kernel_classification_foodPoking_foodPoking_4000_neuhalf_svmrbf: -0.8929 ± 0.0477
Iteration 0 | Test Loss = -0.8571
Iteration 1 | Test Loss = -0.8286
Iteration 2 | Test Loss = -0.8286
Iteration 3 | Test Loss = -0.8857
Iteration 4 | Test Loss = -0.8857
Iteration 5 | Test Loss = -0.8571
Iteration 6 | Test Loss = -0.8000
Iteration 7 | Test Loss = -0.7714
Iteration 8 | Test Loss = -0.8857
Iteration 9 | Test Loss = -0.7429
Iteration 10 | Test Loss = -0.8286
Iteration 11 | Test Loss = -0.8286
Iteration 12 | Test Loss = -0.8857
Iteration 13 | Test Loss = -0.8571
Iteration 14 | Test Loss = -0.8286
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.8571
Iteration 17 | Test Loss = -0.8000
Iteration 18 | Test Loss = -0.8286
Iteration 19 | Test Loss = -0.7429
Result for kernel_classification_foodPoking_foodPoking_4000_neuhalf_mlp: -0.8371 ± 0.0487
